"","alpha","lambda","y","type","run"
"188",0.5,0.5,0.0986210852861404,"grid",3
"189",0.75,0.5,0.190316155552864,"grid",3
"190",0.99,0.5,2.30215239524841,"grid",3
"191",0.01,0.75,0.125144883990288,"grid",3
"192",0.25,0.75,0.106845043599606,"grid",3
"193",0.5,0.75,0.106996297836304,"grid",3
"194",0.75,0.75,0.190316244959831,"grid",3
"195",0.99,0.75,2.30213809013367,"grid",3
"196",0.01,0.99,0.138023108243942,"grid",3
"197",0.25,0.99,0.117507345974445,"grid",3
"198",0.5,0.99,0.113967023789883,"grid",3
"199",0.75,0.99,0.182693481445312,"grid",3
"200",0.99,0.99,2.30209589004517,"grid",3
"201",0.336226894733651,0.780317713875168,0.102558642625809,"bayesian",3
"202",0.575621904688887,0.228438309393823,0.116914980113506,"bayesian",3
"203",0.130023305983438,0.546920098655391,0.122422732412815,"bayesian",3
"204",0.964137026729683,0.369485993306929,2.03036975860596,"bayesian",3
"205",0.170318309683353,0.600007331871893,0.113833427429199,"bayesian",3
"206",0.615241968635625,0.697803961054888,0.135136723518372,"bayesian",3
"207",0.695133573860706,0.0327660510665737,0.154320746660233,"bayesian",3
"208",0.483846119391577,0.0955352466747475,0.11201636493206,"bayesian",3
"209",0.327340733803188,0.324431157826136,0.106820359826088,"bayesian",3
"210",0.904392746878633,0.497653189949536,0.958225071430206,"bayesian",3
"211",0.782313622165626,0.886884241752947,0.230466112494469,"bayesian",3
"212",0.0685699020978063,0.987775273873316,0.136950314044952,"bayesian",3
"213",0.169902849090126,0.780988242204187,0.117231771349907,"bayesian",3
"214",0.302561317465736,0.999,0.0980998352169991,"bayesian",3
"215",0.268312957042931,0.874819649672948,0.101746834814548,"bayesian",3
"216",0.262850651024617,0.999,0.0952506586909294,"bayesian",3
"217",0.267481906389907,0.999,0.106331363320351,"bayesian",3
"218",0.283550069609846,0.972640156874381,0.110044181346893,"bayesian",3
"219",0.281558366996157,0.999,0.115137591958046,"bayesian",3
"220",0.271062518929757,0.999,0.107076078653336,"bayesian",3
"221",0.276007313173236,0.999,0.106595404446125,"bayesian",3
"222",0.277445130904922,0.999,0.110057294368744,"bayesian",3
"223",0.277811050306267,0.999,0.108727939426899,"bayesian",3
"224",0.278248082500199,0.999,0.104171007871628,"bayesian",3
"225",0.278947162157,0.999,0.0953275859355927,"bayesian",3
"226",0.638459328925237,0.304623134052381,0.13225694000721,"random",4
"227",0.430488042002544,0.709220411349088,0.114084362983704,"random",4
"228",0.987093764990568,0.81478486225009,2.30213665962219,"random",4
"229",0.798284258330241,0.25056098472327,0.255057811737061,"random",4
"230",0.129596939599141,0.905564698828384,0.115146301686764,"random",4
"231",0.177790881618857,0.356552395150065,0.117597252130508,"random",4
"232",0.682633547084406,0.771365471873432,0.14385786652565,"random",4
"233",0.670493210908025,0.96548736859113,0.150378003716469,"random",4
"234",0.367507225479931,0.742670950386673,0.106585741043091,"random",4
"235",0.560254824543372,0.22459395552054,0.112942352890968,"random",4
"236",0.0971274956315756,0.0968063634540886,0.1157086789608,"random",4
"237",0.520548388427123,0.947523676762357,0.112959615886211,"random",4
"238",0.943507710639387,0.60645176852122,2.0069899559021,"random",4
"239",0.478276043673977,0.879877829970792,0.120201081037521,"random",4
"240",0.00949991236440837,0.187904833778739,0.145143240690231,"random",4
"241",0.0638437417149544,0.0472903791069984,0.126048654317856,"random",4
"242",0.224103587381542,0.41060701308772,0.107304848730564,"random",4
"243",0.8806955482997,0.14459979519248,0.591781139373779,"random",4
"244",0.243344585634768,0.657893671253696,0.110294058918953,"random",4
"245",0.721007434707135,0.382565679838881,0.179146826267242,"random",4
"246",0.825522750718519,0.471805209899321,0.300894111394882,"random",4
"247",0.501887339288369,0.516491404771805,0.111387878656387,"random",4
"248",0.867599931629375,0.0297376799304038,0.478690177202225,"random",4
"249",0.308670496363193,0.522446269989014,0.101316124200821,"random",4
"250",0.351107357973233,0.599117717593908,0.110859408974648,"random",4
"251",0.01,0.01,0.14700984954834,"grid",4
"252",0.25,0.01,0.099762961268425,"grid",4
"253",0.5,0.01,0.113092832267284,"grid",4
"254",0.75,0.01,0.198971390724182,"grid",4
"255",0.99,0.01,2.30212211608887,"grid",4
"256",0.01,0.25,0.126150339841843,"grid",4
"257",0.25,0.25,0.109035685658455,"grid",4
"258",0.5,0.25,0.105732828378677,"grid",4
"259",0.75,0.25,0.18192820250988,"grid",4
"260",0.99,0.25,2.30212950706482,"grid",4
"261",0.01,0.5,0.128450527787209,"grid",4
"262",0.25,0.5,0.113088510930538,"grid",4
"263",0.5,0.5,0.114899985492229,"grid",4
"264",0.75,0.5,0.197793677449226,"grid",4
"265",0.99,0.5,2.30220985412598,"grid",4
"266",0.01,0.75,0.139226049184799,"grid",4
"267",0.25,0.75,0.107424080371857,"grid",4
"268",0.5,0.75,0.112957008183002,"grid",4
"269",0.75,0.75,0.193003341555595,"grid",4
"270",0.99,0.75,2.30203938484192,"grid",4
"271",0.01,0.99,0.148877307772636,"grid",4
"272",0.25,0.99,0.114234998822212,"grid",4
"273",0.5,0.99,0.109270453453064,"grid",4
"274",0.75,0.99,0.194638609886169,"grid",4
"275",0.99,0.99,2.30210781097412,"grid",4
"276",0.812619473552331,0.778660012603117,0.274497002363205,"bayesian",4
"277",0.647484087734483,0.746130811690819,0.136541545391083,"bayesian",4
"278",0.032633820315823,0.306853661391263,0.126477941870689,"bayesian",4
"279",0.153514099559591,0.166004176853069,0.118910901248455,"bayesian",4
"280",0.351156394851084,0.914270123195214,0.11035181581974,"bayesian",4
"281",0.417702031477044,0.545169928227551,0.102779254317284,"bayesian",4
"282",0.510318391548935,0.970155085883258,0.113643191754818,"bayesian",4
"283",0.256025784745968,0.246925464326826,0.102816663682461,"bayesian",4
"284",0.247932150009243,0.437997068763555,0.107493750751019,"bayesian",4
"285",0.976745500209896,0.068399389507249,2.30201625823975,"bayesian",4
"286",0.889189543241324,0.626737447804771,0.700185120105743,"bayesian",4
"287",0.676144320575986,0.412005173430468,0.146680548787117,"bayesian",4
"288",0.518505725067067,0.138437951048952,0.111084491014481,"bayesian",4
"289",0.524051485944488,0.356467205757876,0.120226666331291,"bayesian",4
"290",0.35502747097356,0.596273845834426,0.10425740480423,"bayesian",4
"291",0.426522417207478,0.999,0.114773817360401,"bayesian",4
"292",0.441915915553642,0.759418647638622,0.0969956368207932,"bayesian",4
"293",0.4363458905488,0.747228655826206,0.106883719563484,"bayesian",4
"294",0.414782050151059,0.698154696712195,0.109949849545956,"bayesian",4
"295",0.439835011044631,0.851398473091979,0.107291482388973,"bayesian",4
"296",0.279770344138481,0.351277057808827,0.104831352829933,"bayesian",4
"297",0.415620502324398,0.658715240158846,0.109056033194065,"bayesian",4
"298",0.406408500823739,0.678826137746258,0.11014261841774,"bayesian",4
"299",0.457948962279531,0.789732791687848,0.11401642113924,"bayesian",4
"300",0.375195762155142,0.626870642446355,0.110035225749016,"bayesian",4
"301",0.434058707691729,0.958192431852221,0.116456441581249,"random",5
"302",0.834735472621396,0.773563088718802,0.314348429441452,"random",5
"303",0.649932569582015,0.815076857730746,0.143770560622215,"random",5
"304",0.25441573208198,0.176223344653845,0.100815080106258,"random",5
"305",0.637187666930258,0.0317694542743266,0.135278612375259,"random",5
"306",0.397742333086207,0.681728123566136,0.100710019469261,"random",5
"307",0.591437636576593,0.375850308658555,0.130028486251831,"random",5
"308",0.296352902259678,0.237676413049921,0.107787594199181,"random",5
"309",0.778096348615363,0.426351182283834,0.206157028675079,"random",5
"310",0.0843185784015805,0.133148877257481,0.114854902029037,"random",5
"311",0.332655324134976,0.292667283695191,0.0985409542918205,"random",5
"312",0.078972803298384,0.116053154300898,0.130521222949028,"random",5
"313",0.708186283651739,0.356311653712764,0.16169598698616,"random",5
"314",0.457570097176358,0.887744127558544,0.114287376403809,"random",5
"315",0.738507909355685,0.461005210028961,0.180065646767616,"random",5
"316",0.490693478286266,0.633877554023638,0.114175394177437,"random",5
"317",0.559402157170698,0.650935487486422,0.123657114803791,"random",5
"318",0.206836066050455,0.85031915480271,0.107973247766495,"random",5
"319",0.925795887997374,0.579774376256391,1.46427845954895,"random",5
"320",0.127488827342167,0.997398290513083,0.115620858967304,"random",5
"321",0.0255510768480599,0.517379157794639,0.142380520701408,"random",5
"322",0.897560362443328,0.0527620007935911,0.739638984203339,"random",5
"323",0.868283320134506,0.724031400857493,0.635652363300323,"random",5
"324",0.972024342212826,0.554904521983117,2.3020806312561,"random",5
"325",0.196666987454519,0.267377770496532,0.106330037117004,"random",5
"326",0.01,0.01,0.130955904722214,"grid",5
"327",0.25,0.01,0.110615834593773,"grid",5
"328",0.5,0.01,0.10509204864502,"grid",5
"329",0.75,0.01,0.196704268455505,"grid",5
"330",0.99,0.01,2.30211162567139,"grid",5
"331",0.01,0.25,0.133267804980278,"grid",5
"332",0.25,0.25,0.106434434652328,"grid",5
"333",0.5,0.25,0.110810570418835,"grid",5
"334",0.75,0.25,0.199763655662537,"grid",5
"335",0.99,0.25,2.30217361450195,"grid",5
"336",0.01,0.5,0.142659142613411,"grid",5
"337",0.25,0.5,0.103839822113514,"grid",5
"338",0.5,0.5,0.118973977863789,"grid",5
"339",0.75,0.5,0.196590006351471,"grid",5
"340",0.99,0.5,2.30219316482544,"grid",5
"341",0.01,0.75,0.13236702978611,"grid",5
"342",0.25,0.75,0.105451568961143,"grid",5
"343",0.5,0.75,0.105433255434036,"grid",5
"344",0.75,0.75,0.179012387990952,"grid",5
"345",0.99,0.75,2.30209827423096,"grid",5
"346",0.01,0.99,0.128608837723732,"grid",5
"347",0.25,0.99,0.101261399686337,"grid",5
"348",0.5,0.99,0.111025586724281,"grid",5
"349",0.75,0.99,0.189355179667473,"grid",5
"350",0.99,0.99,2.30210781097412,"grid",5
"351",0.107468813754773,0.407147874628815,0.116243302822113,"bayesian",5
"352",0.334405642390872,0.609946229572718,0.101900719106197,"bayesian",5
"353",0.511632953654043,0.526282709479953,0.118389524519444,"bayesian",5
