"","alpha","lambda","y","type","run"
"158",0.585642049778253,0.607161302184686,0.114967651665211,"random",13
"159",0.938983450373635,0.119698064895347,1.8109290599823,"random",13
"160",0.168415365209803,0.24279219776392,0.102722242474556,"random",13
"161",0.498393502086401,0.131455578217283,0.115942485630512,"random",13
"162",0.377755318591371,0.0382849090360105,0.102982960641384,"random",13
"163",0.148632334750146,0.682078426424414,0.106264881789684,"random",13
"164",0.319890898149461,0.0746870099008083,0.10437586158514,"random",13
"165",0.220404948499054,0.18096724614501,0.104155443608761,"random",13
"166",0.0306148083973676,0.731081871837377,0.12992662191391,"random",13
"167",0.35608951324597,0.210243718614802,0.101292639970779,"random",13
"168",0.546747137205675,0.31754026370123,0.111274905502796,"random",13
"169",0.414093204513192,0.433511603111401,0.108775988221169,"random",13
"170",0.689230526359752,0.452667549895123,0.154410749673843,"random",13
"171",0.625692856330425,0.39162935343571,0.127002701163292,"random",13
"172",0.67261907258071,0.527431292748079,0.153940618038177,"random",13
"173",0.457632601838559,0.645281157400459,0.111602693796158,"random",13
"174",0.831718506999314,0.93023234562017,0.315890938043594,"random",13
"175",0.979819334736094,0.84980316224508,2.30198645591736,"random",13
"176",0.01,0.01,0.133298322558403,"grid",13
"177",0.25,0.01,0.111212901771069,"grid",13
"178",0.5,0.01,0.114351950585842,"grid",13
"179",0.75,0.01,0.184700280427933,"grid",13
"180",0.99,0.01,2.30216264724731,"grid",13
"181",0.01,0.25,0.138148829340935,"grid",13
"182",0.25,0.25,0.102896496653557,"grid",13
"183",0.5,0.25,0.113826975226402,"grid",13
"184",0.75,0.25,0.185601785778999,"grid",13
"185",0.99,0.25,2.30213618278503,"grid",13
"186",0.01,0.5,0.156488716602325,"grid",13
"187",0.25,0.5,0.107751555740833,"grid",13
"188",0.5,0.5,0.113868109881878,"grid",13
"189",0.75,0.5,0.195240274071693,"grid",13
"190",0.99,0.5,2.30211710929871,"grid",13
"191",0.01,0.75,0.135988816618919,"grid",13
"192",0.25,0.75,0.103238359093666,"grid",13
"193",0.5,0.75,0.111836113035679,"grid",13
"194",0.75,0.75,0.199961021542549,"grid",13
"195",0.99,0.75,2.30204629898071,"grid",13
"196",0.01,0.99,0.139841094613075,"grid",13
"197",0.25,0.99,0.10951940715313,"grid",13
"198",0.5,0.99,0.118105366826057,"grid",13
"199",0.75,0.99,0.18967904150486,"grid",13
"200",0.99,0.99,2.3020601272583,"grid",13
"201",0.153569937295591,0.85114429537983,0.118336506187916,"bayesian",13
"202",0.0761258740676567,0.74181072472129,0.125524684786797,"bayesian",13
"203",0.782963823061436,0.317818002794714,0.210733070969582,"bayesian",13
"204",0.990425741979076,0.471699971337027,2.30208039283752,"bayesian",13
"205",0.907189569300196,0.151096134252536,0.895735681056976,"bayesian",13
"206",0.343673251278233,0.773187723165999,0.095855824649334,"bayesian",13
"207",0.742119793605525,0.0823807987423303,0.177979841828346,"bayesian",13
"208",0.50043843612851,0.537730884602449,0.110665619373322,"bayesian",13
"209",0.630164592856696,0.965751068317331,0.135260596871376,"bayesian",13
"210",0.493920218917386,0.611702309261697,0.101883932948112,"bayesian",13
"211",0.208170402581648,0.189800112779873,0.109033212065697,"bayesian",13
"212",0.303805158939213,0.353909645986278,0.0983719155192375,"bayesian",13
"213",0.23430676874183,0.540767554953928,0.104265168309212,"bayesian",13
"214",0.306957434776528,0.599841405407412,0.102525442838669,"bayesian",13
"215",0.340306557473022,0.999,0.110573515295982,"bayesian",13
"216",0.313030117821819,0.806666524519667,0.106897413730621,"bayesian",13
"217",0.679344224390367,0.522362217289677,0.145314365625381,"bayesian",13
"218",0.379135038266714,0.001,0.10634732991457,"bayesian",13
"219",0.409772403704671,0.49856179534717,0.10998909175396,"bayesian",13
"220",0.462426752146287,0.999,0.104249991476536,"bayesian",13
"221",0.417002343915372,0.827701252462577,0.105886533856392,"bayesian",13
"222",0.565319917796612,0.813293220320208,0.121954821050167,"bayesian",13
"223",0.351550202289746,0.710640232866287,0.114350765943527,"bayesian",13
"224",0.102363800340904,0.999,0.124788694083691,"bayesian",13
"225",0.352866044561796,0.890351009927193,0.115928120911121,"bayesian",13
"226",0.965190609889105,0.00278837797231972,2.0326623916626,"random",14
"227",0.294766508890316,0.273954797852784,0.099892295897007,"random",14
"228",0.629734620191157,0.427689616670832,0.141470342874527,"random",14
"229",0.758098930772394,0.803233839068562,0.18852773308754,"random",14
"230",0.667520682131872,0.148842697869986,0.151476547122002,"random",14
"231",0.564440252343193,0.620447757607326,0.11390795558691,"random",14
"232",0.0491084580961615,0.543835288072005,0.125452414155006,"random",14
"233",0.712872071499005,0.351498352559283,0.161681458353996,"random",14
"234",0.107430828278884,0.954506290946156,0.116504341363907,"random",14
"235",0.130887495316565,0.304743448952213,0.109414480626583,"random",14
"236",0.248335162363946,0.374691955940798,0.100825674831867,"random",14
"237",0.162647743616253,0.879725150000304,0.114552736282349,"random",14
"238",0.32369682664983,0.910268218265846,0.105435341596603,"random",14
"239",0.0157679394166917,0.579625540226698,0.1219816878438,"random",14
"240",0.891939854566008,0.19714384553954,0.760917663574219,"random",14
"241",0.947808774178848,0.512822264907882,2.0090160369873,"random",14
"242",0.79812681151554,0.761644993424416,0.242616251111031,"random",14
"243",0.434531328519806,0.100094432793558,0.109817035496235,"random",14
"244",0.52999288501218,0.666163910944015,0.118240393698215,"random",14
"245",0.51208390250802,0.696391144413501,0.114064209163189,"random",14
"246",0.828013196652755,0.207460086746141,0.304804295301437,"random",14
"247",0.849468598309904,0.0536185013782233,0.394736409187317,"random",14
"248",0.210865946272388,0.736100763659924,0.114799909293652,"random",14
"249",0.363918126150966,0.450505377314985,0.104334697127342,"random",14
"250",0.45745487052016,0.970975811565295,0.11388922482729,"random",14
"251",0.01,0.01,0.130921959877014,"grid",14
"252",0.25,0.01,0.0988646671175957,"grid",14
"253",0.5,0.01,0.116811960935593,"grid",14
"254",0.75,0.01,0.183168515563011,"grid",14
"255",0.99,0.01,2.30211615562439,"grid",14
"256",0.01,0.25,0.130371332168579,"grid",14
"257",0.25,0.25,0.109395049512386,"grid",14
"258",0.5,0.25,0.115845642983913,"grid",14
"259",0.75,0.25,0.187982276082039,"grid",14
"260",0.99,0.25,2.30206942558289,"grid",14
