"","pred"
"1",0.118891598527895
"2",0.117782384316176
"3",0.117133463645771
"4",0.116919745337111
"5",0.117104959252323
"6",0.117641850873815
"7",0.118472593154909
"8",0.119529420796832
"9",0.120735488401084
"10",0.122005950030114
"11",0.123249253647378
"12",0.12436863977001
"13",0.125263829528145
"14",0.125832883262345
"15",0.125974206882456
"16",0.125588679538419
"17",0.124581872790828
"18",0.122866328493207
"19",0.120363860076076
"20",0.117007839918649
"21",0.112745434063479
"22",0.107539744715824
"23",0.101371820812455
"24",0.0942424974650059
"25",0.0861740262955343
"26",0.0772114605866114
"27",0.067423761750759
"28",0.0569045968611213
"29",0.045772800836116
"30",0.0341724812880066
"31",0.0222727489639569
"32",0.0102670620583614
"33",-0.00162782162550552
"34",-0.0131732847285422
"35",-0.0241106765453401
"36",-0.0341635131478998
"37",-0.0430400330373606
"38",-0.0504360839412566
"39",-0.0560383106251404
"40",-0.059527608192389
"41",-0.0605828003968728
"42",-0.058884498083949
"43",-0.0541190890844105
"44",-0.045982807789939
"45",-0.0341858302949767
"46",-0.0184563394504262
"47",0.00145549652609867
"48",0.0257736880788961
"49",0.0546927861486333
"50",0.088374495090532
"51",0.12694458722687
"52",0.170490166053838
"53",0.219057320841494
"54",0.272649210394029
"55",0.331224608154041
"56",0.394696934721122
"57",0.46293379731028
"58",0.535757048799047
"59",0.612943371913272
"60",0.694225386891824
"61",0.779293273763567
"62",0.867796893279834
"63",0.959348383683205
"64",1.0535252039669
"65",1.14987358818954
"66",1.24791236985098
"67",1.3471371303922
"68",1.44702462162814
"69",1.54703740842015
"70",1.64662867519296
"71",1.74524713803465
"72",1.84234200310944
"73",1.93736791196804
"74",2.02978981505118
"75",2.11908771622791
"76",2.20476123355583
"77",2.2863339245471
"78",2.36335732801315
"79",2.43541467897255
"80",2.50212425805984
"81",0.120509588833574
"82",0.119210790850736
"83",0.118375415865622
"84",0.117979563013171
"85",0.117988080005132
"86",0.118354741352582
"87",0.119022644557807
"88",0.11992482967208
"89",0.120985123905005
"90",0.122119209045339
"91",0.123235905378137
"92",0.124238661628002
"93",0.125027236299118
"94",0.12549955169575
"95",0.125553697973222
"96",0.125090060866215
"97",0.124013543348349
"98",0.122235848466925
"99",0.119677788041177
"100",0.116271579872668
"101",0.111963094649987
"102",0.106714012881946
"103",0.100503852001375
"104",0.093331824268587
"105",0.0852184872862271
"106",0.0762071508110969
"107",0.0663650061069518
"108",0.0557839472948208
"109",0.0445810579911285
"110",0.0328987409241927
"111",0.0209044731293063
"112",0.00879017466589268
"113",-0.00322881550158632
"114",-0.0149151568553684
"115",-0.0260113121751228
"116",-0.0362417279559635
"117",-0.0453153723006716
"118",-0.0529286061735421
"119",-0.0587683581285981
"120",-0.0625155671981739
"121",-0.0638488536455739
"122",-0.0624483728377785
"123",-0.057999803664666
"124",-0.050198419792697
"125",-0.0387531896541932
"126",-0.0233908494906746
"127",-0.00385989302316783
"128",0.0200655785599309
"129",0.0485822016211285
"130",0.0818539435726812
"131",0.120008995639978
"132",0.16313701217813
"133",0.211286739578361
"134",0.264464072856471
"135",0.322630572452993
"136",0.385702467677946
"137",0.453550166699262
"138",0.525998286103002
"139",0.602826205954326
"140",0.683769149072868
"141",0.768519776017867
"142",0.856730280171669
"143",0.948014960425809
"144",1.04195324242127
"145",1.13809311317362
"146",1.23595492832052
"147",1.33503554624813
"148",1.43481273905894
"149",1.53474982679897
"150",1.63430047861604
"151",1.73291362261301
"152",1.83003840510454
"153",1.92512913980043
"154",2.01765018810753
"155",2.10708071324986
"156",2.19291925321607
"157",2.27468806060803
"158",2.35193716122527
"159",2.42424808760618
"160",2.49123724868262
"161",0.122061669351162
"162",0.120572887262387
"163",0.119550826359077
"164",0.118972822720764
"165",0.118804892031701
"166",0.119001890957991
"167",0.119507897094213
"168",0.120256813120398
"169",0.121173197096019
"170",0.122173316883464
"171",0.123166422606979
"172",0.124056226883698
"173",0.124742578384445
"174",0.125123310174214
"175",0.125096240322592
"176",0.124561298544117
"177",0.123422749205104
"178",0.121591477991439
"179",0.118987306942369
"180",0.115541300480979
"181",0.111198023569939
"182",0.105917712238022
"183",0.0996783164950369
"184",0.0924773761070268
"185",0.0843336908521604
"186",0.0752887487227903
"187",0.065407878068261
"188",0.0547810928617469
"189",0.0435236040860404
"190",0.0317759746161156
"191",0.0197038998723461
"192",0.007497601852756
"193",-0.00462917015407516
"194",-0.0164405329110809
"195",-0.0276802512298452
"196",-0.0380738970153629
"197",-0.0473313675740658
"198",-0.055149739361505
"199",-0.0612164275475832
"200",-0.0652126163219071
"201",-0.0668169198474718
"202",-0.0657092292872515
"203",-0.0615746974608507
"204",-0.0541078095082598
"205",-0.0430164855089319
"206",-0.0280261593773506
"207",-0.00888377756669628
"208",0.0146383388145641
