"","pred"
"1",0.0623071157656412
"2",0.069354050841402
"3",0.0760090130368664
"4",0.0822429225072338
"5",0.0880312664290754
"6",0.0933542395033542
"7",0.0981968170022032
"8",0.102548763501891
"9",0.106404582301559
"10",0.109763412296508
"11",0.112628880669566
"12",0.115008921162491
"13",0.116915568804616
"14",0.118364742791475
"15",0.119376029670471
"16",0.119972479063347
"17",0.120180423838585
"18",0.120029335906886
"19",0.119551727666097
"20",0.11878310758144
"21",0.117761996463443
"22",0.116530008767137
"23",0.115132000702742
"24",0.113616284200098
"25",0.112034902871126
"26",0.110443963151503
"27",0.108904010838514
"28",0.107480440412266
"29",0.106243921848015
"30",0.105270827279011
"31",0.104643637844679
"32",0.104451309509291
"33",0.104789575595855
"34",0.105761163300631
"35",0.107475901613531
"36",0.110050698864393
"37",0.113609369575353
"38",0.118282292423191
"39",0.124205883858265
"40",0.131521875287479
"41",0.140376385596489
"42",0.150918785143435
"43",0.163300352055767
"44",0.17767272665273
"45",0.194186174941395
"46",0.212987677302543
"47",0.234218863544696
"48",0.258013820358211
"49",0.284496801674441
"50",0.313779876482295
"51",0.345960552056293
"52",0.381119413321903
"53",0.419317821037485
"54",0.460595712604069
"55",0.504969549541954
"56",0.5524304549694
"57",0.602942582789196
"58",0.65644175772379
"59",0.712834421894685
"60",0.771996919366513
"61",0.833775145044048
"62",0.897984578617122
"63",0.964410718023571
"64",1.03280992023821
"65",1.10291065026129
"66",1.1744151321053
"67",1.2470013885051
"68",1.32032564916417
"69",1.39402510073619
"70",1.46772094556441
"71",1.54102173058878
"72",1.61352690290215
"73",1.68483054428706
"74",1.75452523377836
"75",1.82220598492951
"76",1.88747420307047
"77",1.94994160743408
"78",2.00923406360616
"79",2.06499527330014
"80",2.11689027092529
"81",0.0651521148530004
"82",0.0719961390487997
"83",0.0784419463208631
"84",0.0844624788481718
"85",0.0900353101494009
"86",0.0951427520562104
"87",0.0997718917567305
"88",0.103914562551129
"89",0.107567253897168
"90",0.110730968140823
"91",0.113411032986979
"92",0.115616880189627
"93",0.117361802094144
"94",0.118662698490989
"95",0.119539826703261
"96",0.120016567887834
"97",0.120119222183788
"98",0.119876844551615
"99",0.119321131941079
"100",0.118486370800924
"101",0.117409451936627
"102",0.116129957372798
"103",0.114690321227046
"104",0.113136063738465
"105",0.111516094551813
"106",0.109883078271153
"107",0.108293852188272
"108",0.106809883126497
"109",0.10549774753351
"110",0.104429616476096
"111",0.103683725055778
"112",0.103344804110228
"113",0.103504450932671
"114",0.104261415200758
"115",0.105721776397704
"116",0.107998989796604
"117",0.111213779499891
"118",0.115493859183016
"119",0.12097346396345
"120",0.127792680223803
"121",0.136096564181066
"122",0.146034044431205
"123",0.157756608522658
"124",0.17141677874149
"125",0.18716638754403
"126",0.205154668419267
"127",0.2255261831749
"128",0.248418611668009
"129",0.273960434653693
"130",0.302268544622838
"131",0.333445823082457
"132",0.367578725646815
"133",0.404734918410633
"134",0.444961010327679
"135",0.488280426663147
"136",0.534691467974546
"137",0.584165597515905
"138",0.636645997441584
"139",0.692046430776232
"140",0.750250441833956
"141",0.81111092272204
"142",0.874450067839172
"143",0.940059731969846
"144",1.0077022008549
"145",1.07711137606685
"146",1.14799436884102
"147",1.22003349030229
"148",1.29288861848886
"149",1.36619991580439
"150",1.43959086421391
"151",1.51267157973262
"152",1.58504236267853
"153",1.65629743587029
"154",1.72602881952374
"155",1.79383028911054
"156",1.85930136093254
"157",1.92205124965291
"158",1.98170274251627
"159",2.03789593646217
"160",2.09029178674663
"161",0.0680670473878224
"162",0.0747031732058047
"163",0.0809351229311146
"164",0.0867379263673524
"165",0.092091308428028
"166",0.0969797619340282
"167",0.10139254798619
"168",0.105323628068376
"169",0.108771534033602
"170",0.111739184007954
"171",0.114233653955886
"172",0.116265916114277
"173",0.117850556688785
"174",0.119005486040195
"175",0.119751655055657
"176",0.120112791441897
"177",0.120115169297956
"178",0.119787424489073
"179",0.119160427074115
"180",0.118267220337369
"181",0.117143033876486
"182",0.115825375743357
"183",0.114354205872147
"184",0.112772190035296
"185",0.111125030402431
"186",0.109461865543778
"187",0.107835729486891
"188",0.106304056316458
"189",0.104929213891423
"190",0.103779047619638
"191",0.102927413005023
"192",0.102454673906992
"193",0.102448142241888
"194",0.10300243422751
"195",0.104219718337415
"196",0.106209830848408
"197",0.109090236311805
"198",0.112985812417199
"199",0.118028441543825
"200",0.12435639474004
"201",0.132113497922788
"202",0.141448074613177
"203",0.152511664474231
"204",0.165457522159227
"205",0.180438906400016
"206",0.197607174742469
"207",0.217109704730608
"208",0.239087667526837
"209",0.2636736847794
"210",0.290989403916481
"211",0.32114303079351
"212",0.354226861680329
"213",0.390314858834965
"214",0.42946031527918
"215",0.471693654861875
"216",0.517020413159576
"217",0.565419443292479
"218",0.616841388261033
"219",0.671207458024629
"220",0.728408545270615
"221",0.788304708760775
"222",0.850725047367539
"223",0.915467981558755
"224",0.982301952278381
"225",1.05096654003162
"226",1.12117399968293
"227",1.1926111991547
"228",1.2649419430245
"229",1.33780965512287
"230",1.41084038775748
"231",1.48364611928314
"232",1.55582829651175
"233",1.62698157401716
"234",1.6966976988338
"235",1.76456948642355
"236",1.8301948321641
"237",1.89318070198914
"238",1.95314704621989
"239",2.00973058201732
"240",2.06258839224241
"241",0.0710400265666634
"242",0.0774632301172035
"243",0.0834765887080369
"244",0.0890572834306345
"245",0.0941872537366482
"246",0.0988532354629451
"247",0.103046723926671
"248",0.106763866755596
"249",0.110005293190182
"250",0.112775888534466
"251",0.115084524189002
"252",0.116943755211627
"253",0.118369498556293
"254",0.119380705997686
"255",0.119999046208876
"256",0.120248610493414
"257",0.120155656255318
"258",0.119748401412526
"259",0.11905688162743
"260",0.118112880446746
"261",0.116949940250778
"262",0.115603459362375
