"","pred"
"1",0.173456779962857
"2",0.178085400143838
"3",0.182820073248225
"4",0.187673294416985
"5",0.192658943926219
"6",0.197792316682155
"7",0.203090142824029
"8",0.208570598665316
"9",0.214253307241796
"10",0.220159327780535
"11",0.226311133459465
"12",0.232732576890864
"13",0.239448842834436
"14",0.246486387726465
"15",0.253872865700108
"16",0.261637040867651
"17",0.269808685738683
"18",0.278418465756554
"19",0.287497810050224
"20",0.297078768616636
"21",0.307193856271763
"22",0.31787588383236
"23",0.32915777711703
"24",0.341072384481532
"25",0.353652273728466
"26",0.366929519354816
"27",0.380935481220853
"28",0.39570057583871
"29",0.41125404158844
"30",0.42762369927144
"31",0.444835709504459
"32",0.462914328542173
"33",0.481881664189195
"34",0.501757433524613
"35",0.52255872421138
"36",0.544299761198436
"37",0.566991680645256
"38",0.590642312905363
"39",0.61525597639658
"40",0.640833284162111
"41",0.667370964886324
"42",0.694861700073533
"43",0.723293979026432
"44",0.752651973174073
"45",0.782915431197001
"46",0.814059596280778
"47",0.84605514669896
"48",0.878868160783439
"49",0.912460107185041
"50",0.946787861162086
"51",0.981803747459243
"52",1.0174556101564
"53",1.05368690967765
"54",1.09043684695648
"55",1.12764051455522
"56",1.1652290743381
"57",1.20312996109789
"58",1.24126711133944
"59",1.27956121622962
"60",1.31792999753557
"61",1.35628850519207
"62",1.39454943496692
"63",1.43262346453122
"64",1.47041960609198
"65",1.50784557360715
"66",1.54480816248161
"67",1.58121363953539
"68",1.61696814094622
"69",1.65197807579506
"70",1.68615053278969
"71",1.71939368770526
"72",1.75161720906415
"73",1.7827326595798
"74",1.81265389091087
"75",1.84129742931236
"76",1.86858284982967
"77",1.89443313675828
"78",1.91877502818641
"79",1.94153934254885
"80",1.96266128524611
"81",0.161489186856227
"82",0.16595518129143
"83",0.170511344605072
"84",0.175168999665372
"85",0.179940892118594
"86",0.184841228852406
"87",0.18988570761506
"88",0.195091536958214
"89",0.20047744570638
"90",0.206063681200905
"91",0.21187199562012
"92",0.217925619741074
"93",0.224249223580209
"94",0.23086886343216
"95",0.237811914915073
"96",0.245106991729255
"97",0.252783849940495
"98",0.260873277711576
"99",0.269406970523336
"100",0.278417392048952
"101",0.287937620972569
"102",0.298001184172692
"103",0.308641876822684
"104",0.319893570093184
"105",0.33179000727265
"106",0.344364589252916
"107",0.35765015045267
"108",0.37167872637494
"109",0.386481314110647
"110",0.402087627210375
"111",0.418525846447303
"112",0.435822368086105
"113",0.454001551353497
"114",0.473085466875124
"115",0.493093647899701
"116",0.514042846173765
"117",0.535946794358494
"118",0.558815976892374
"119",0.582657411200792
"120",0.607474441134189
"121",0.633266544480933
"122",0.660029156348803
"123",0.687753510140567
"124",0.716426497764498
"125",0.746030550620104
"126",0.776543542783638
"127",0.80793871768807
"128",0.840184639448101
"129",0.873245169824691
"130",0.907079471655901
"131",0.941642039402779
"132",0.976882757272772
"133",1.01274698518928
"134",1.04917567267693
"135",1.08610550052885
"136",1.12346904991736
"137",1.16119499840371
"138",1.19920834209857
"139",1.23743064302457
"140",1.27578030053613
"141",1.31417284546348
"142",1.35252125546773
"143",1.39073628992356
"144",1.4287268424887
"145",1.46640030937399
"146",1.50366297119796
"147",1.54042038619569
"148",1.57657779245352
"149",1.61204051676238
"150",1.64671438762047
"151",1.6805061498745
"152",1.71332387846559
"153",1.74507738874326
"154",1.77567864082743
"155",1.80504213553467
"156",1.83308529944028
"157",1.85972885672186
"158",1.88489718552213
"159",1.90851865667785
"160",1.93052595278691
"161",0.149767173134138
"162",0.154086252163706
"163",0.15847890620112
"164",0.162955182844806
"165",0.167526588666223
"166",0.17220613703969
"167",0.177008387194874
"168",0.18194947359524
"169",0.187047124778481
"170",0.192320670838218
"171",0.19779103877901
"172",0.203480735039383
"173",0.209413814549996
"174",0.215615835776059
"175",0.222113801283631
"176",0.228936083469319
"177",0.236112335200139
"178",0.243673385224992
"179",0.251651118340845
"180",0.260078340423073
"181",0.268988628561315
"182",0.278416166676907
"183",0.288395567135281
"184",0.298961679005497
"185",0.310149383756847
"186",0.321993379319759
"187",0.334527953571988
"188",0.347786748440922
"189",0.361802515936727
"190",0.376606867548928
"191",0.392230018547096
"192",0.408700528826213
"193",0.426045042025579
"194",0.444288024726615
"195",0.463451507598345
"196",0.483554830408689
"197",0.504614392854106
"198",0.526643413179211
"199",0.549651696560142
"200",0.573645415211617
"201",0.598626902146609
"202",0.624594460469035
"203",0.651542190014808
"204",0.67945983307453
"205",0.708332640832069
"206",0.738141262039052
"207",0.768861655315189
"208",0.800465026320243
"209",0.832917790885811
"210",0.866181565025453
"211",0.900213182561103
"212",0.934964740913695
"213",0.970383675408194
"214",1.00641286223916
"215",1.04299075003465
"216",1.08005151974486
"217",1.11752527237034
"218",1.15533824383319
"219",1.19341304608734
"220",1.23166893336006
"221",1.27002209222105
"222",1.30838595398659
"223",1.34667152778882
"224",1.38478775247354
"225",1.42264186533721
"226",1.46013978557554
"227",1.49718651019356
"228",1.53368652002218
"229",1.56954419339918
"230",1.60466422500379
"231",1.63895204728606
"232",1.67231425190283
"233",1.70465900856364
"234",1.73589647870175
"235",1.76593922141683
"236",1.79470258918749
"237",1.82210511092294
"238",1.84806886001216
"239",1.8725198051362
"240",1.89538814173363
"241",0.138386337382008
"242",0.142576477477587
"243",0.146822954523133
"244",0.15113444035402
"245",0.1555211003906
"246",0.159994651206465
"247",0.164568409405127
"248",0.169257330841758
"249",0.17407803925784
"250",0.179048843437443
"251",0.184189742045611
"252",0.189522415370975
"253",0.195070203267203
"254",0.200858068670208
"255",0.206912546159422
"256",0.213261675133272
"257",0.21993491727824
"258",0.226963058128635
"259",0.234378092639224
"260",0.242213094823318
"261",0.250502071645449
"262",0.259279801497766
"263",0.268581657732068
"264",0.278443417864285
"265",0.288901059213083
"266",0.299990541877506
"267",0.311747580100533
"268",0.32420740320201
"269",0.337404507396632
"270",0.351372399937463
"271",0.366143337142543
"272",0.381748057968736
"273",0.398215514893865
"274",0.415572603951822
"275",0.433843895836478
"276",0.453051370046349
"277",0.473214154083565
"278",0.494348269745594
"279",0.516466388556728
"280",0.539577598377539
"281",0.563687183204214
"282",0.588796418125509
"283",0.614902381343333
"284",0.641997785083499
"285",0.670070827126597
"286",0.69910506457551
"287",0.729079311346749
"288",0.759967560728415
"289",0.791738934188798
"290",0.824357657448161
"291",0.857783064643119
"292",0.891969631219803
"293",0.926867035990107
"294",0.962420252576696
"295",0.99856967025859
"296",1.03525124401244
"297",1.07239667332574
"298",1.10993360914097
"299",1.14778588807411
"300",1.1858737928402
"301",1.2241143376143
"302",1.2624215768597
"303",1.30070693596939
"304",1.33887956189187
"305",1.37684669175142
"306",1.41451403732631
"307",1.45178618311842
"308",1.48856699563427
"309",1.52476004140341
"310",1.56026901118414
"311",1.59499814775142
