"","pred"
"1",-0.0496185684392293
"2",-0.0574118869400193
"3",-0.0638739279780498
"4",-0.0690253284439547
"5",-0.0728975203301254
"6",-0.0755315203843519
"7",-0.0769766284989383
"8",-0.0772890741769953
"9",-0.0765306515492056
"10",-0.0747673837700931
"11",-0.0720682565490642
"12",-0.068504058156181
"13",-0.0641463593230549
"14",-0.0590666622439454
"15",-0.0533357415375563
"16",-0.0470231937678903
"17",-0.0401972038908264
"18",-0.0329245288871268
"19",-0.0252706921186328
"20",-0.0173003698109438
"21",-0.00907794677090223
"22",-0.000668207763295325
"23",0.00786287543691785
"24",0.0164473073111536
"25",0.0250142331028412
"26",0.033489159831154
"27",0.0417932895603579
"28",0.0498430226565678
"29",0.0575496861038641
"30",0.0648195368996959
"31",0.0715540895956649
"32",0.0776508034906775
"33",0.083004161600084
"34",0.0875071598958687
"35",0.0910532142605379
"36",0.0935384796816442
"37",0.0948645645292452
"38",0.0949416044616994
"39",0.093691653239526
"40",0.0910523279627678
"41",0.0869806390387155
"42",0.0814569198663774
"43",0.0744887657752057
"44",0.0661148793098837
"45",0.0564087184735606
"46",0.0454818375854021
"47",0.0334868129338615
"48",0.0206196463839986
"49",0.00712154569867387
"50",-0.00672001094553568
"51",-0.0205710076888658
"52",-0.0340514908483772
"53",-0.0467370870579898
"54",-0.05816147616439
"55",-0.0678198338136313
"56",-0.0751732398206073
"57",-0.0796540260848469
"58",-0.0806720170784464
"59",-0.0776215950136548
"60",-0.0698895009411395
"61",-0.0568632643975109
"62",-0.0379401373096607
"63",-0.0125363925262576
"64",0.0199031652692357
"65",0.0598956367655203
"66",0.107910581259271
"67",0.16436085630533
"68",0.229593912712913
"69",0.303883710462496
"70",0.387423413063064
"71",0.480319006388941
"72",0.582583974452147
"73",0.694135146921833
"74",0.814789814102144
"75",0.944264183147971
"76",1.08217322626515
"77",1.22803194705311
"78",1.38125806671347
"79",1.54117610608799
"80",1.70702281568755
"81",-0.0326309528578944
"82",-0.0407330930774351
"83",-0.0475171173057269
"84",-0.0530042518124335
"85",-0.0572264958138416
"86",-0.060225369682631
"87",-0.0620505705803198
"88",-0.0627585764500322
"89",-0.062411239724477
"90",-0.0610744129270271
"91",-0.0588166465930632
"92",-0.0557079986478117
"93",-0.05181898895451
"94",-0.0472197297527569
"95",-0.0419792550674591
"96",-0.0361650669975124
"97",-0.0298429064540609
"98",-0.0230767508265786
"99",-0.0159290297089754
"100",-0.00846104205120267
"101",-0.000733550085486748
"102",0.00719248390059557
"103",0.0152550585159572
"104",0.0233902392005666
"105",0.0315312615706914
"106",0.0396076877854383
"107",0.0475446750425
"108",0.0552624137091518
"109",0.0626757924353641
"110",0.0696943426875883
"111",0.0762225116853613
"112",0.0821603021054981
"113",0.0874043122729414
"114",0.0918491944244239
"115",0.0953895421538025
"116",0.0979222007804192
"117",0.099348983422697
"118",0.0995797597939787
"119",0.09853587234828
"120",0.0961538181013605
"121",0.092389126243094
"122",0.0872203445192901
"123",0.0806530423854857
"124",0.0727237289493478
"125",0.0635035765373808
"126",0.0531018421211422
"127",0.0416688730355167
"128",0.0293985900040329
"129",0.0165303443683752
"130",0.0033500531962256
"131",-0.00980946948079718
"132",-0.0225690578201684
"133",-0.0345046686569805
