"","pred"
"1",0.0717155121656299
"2",0.0523442611533936
"3",0.0346284546137542
"4",0.0186865476775693
"5",0.00460784406312809
"6",-0.007548162726009
"7",-0.0177517830753688
"8",-0.0260024682269073
"9",-0.0323275185637582
"10",-0.0367802105552736
"11",-0.0394374080703553
"12",-0.0403967398412077
"13",-0.0397734382691836
"14",-0.0376969461000278
"15",-0.0343074035709065
"16",-0.0297521326918729
"17",-0.0241822328543551
"18",-0.0177493982753468
"19",-0.0106030560018162
"20",-0.00288791162787
"21",0.00525802907095865
"22",0.0137049133120695
"23",0.0223319435939702
"24",0.031027726709404
"25",0.0396900925191946
"26",0.0482254293164617
"27",0.0565476059706913
"28",0.0645765716656176
"29",0.072236741958866
"30",0.0794552926085352
"31",0.0861604924003831
"32",0.0922802089016619
"33",0.0977407194664235
"34",0.102465951673786
"35",0.106377264192131
"36",0.109393859493537
"37",0.111433897138229
"38",0.112416346984089
"39",0.112263592177603
"40",0.110904757247045
"41",0.108279703391885
"42",0.104343598444983
"43",0.0990719376372715
"44",0.0924658617575399
"45",0.0845575935715403
"46",0.0754157953793819
"47",0.0651506350181732
"48",0.0539183424750292
"49",0.0419250396969284
"50",0.0294296350720269
"51",0.0167455902557885
"52",0.00424139102736049
"53",-0.00766041504272804
"54",-0.0184857153136655
"55",-0.0277129215054031
"56",-0.0347786656021313
"57",-0.0390850671804479
"58",-0.0400084891160692
"59",-0.0369096500827129
"60",-0.0291449168302478
"61",-0.0160785573962159
"62",0.00290430024802799
"63",0.0283842896865984
"64",0.0608943154825249
"65",0.100906272968999
"66",0.14881830539035
"67",0.204942921846476
"68",0.26949628585237
"69",0.342588962728612
"70",0.424218383149814
"71",0.514263242788244
"72",0.612480013911995
"73",0.718501695299425
"74",0.831838874539182
"75",0.951883121467773
"76",1.07791267638101
"77",1.20910034191778
"78",1.34452343588874
"79",1.48317561412348
"80",1.62398032987059
"81",0.0812368238001022
"82",0.0618730583786531
"83",0.0441602259337658
"84",0.0282144326498458
"85",0.0141223572595989
"86",0.00194065357363638
"87",-0.00830397131568428
"88",-0.0166140127167923
"89",-0.0230197881782468
"90",-0.0275774706451135
"91",-0.0303666034704707
"92",-0.031487181109277
"93",-0.0310563943801726
"94",-0.0292051486854185
"95",-0.0260744716325603
"96",-0.0218119285058409
