"","pred"
"1",0.553797962614763
"2",0.523128976346298
"3",0.491594669430403
"4",0.459436471104105
"5",0.426902960290048
"6",0.394247095495096
"7",0.361723298460233
"8",0.329584426762698
"9",0.298078674286081
"10",0.267446440611897
"11",0.237917213253438
"12",0.209706507637906
"13",0.183012911424935
"14",0.158015279219979
"15",0.134870124005572
"16",0.113709250180084
"17",0.0946376707927969
"18",0.0777318496899434
"19",0.0630383047589795
"20",0.0505726053364112
"21",0.0403187911412464
"22",0.0322292353096571
"23",0.0262249674718665
"24",0.0221964669192473
"25",0.0200049284481985
"26",0.0194839968639068
"27",0.020441958331159
"28",0.0226643696494975
"29",0.025917099237286
"30",0.029949746214038
"31",0.0344993974674705
"32",0.0392946760481483
"33",0.0440600284122314
"34",0.0485201930158155
"35",0.0524047882064614
"36",0.0554529539536377
"37",0.0574179795312547
"38",0.0580718473149039
"39",0.0572096229051686
"40",0.05465362191081
"41",0.0502572859988764
"42",0.043908702960466
"43",0.0355337102348156
"44",0.0250985257986077
"45",0.0126118563844743
"46",-0.0018735599678405
"47",-0.018260012468369
"48",-0.0364045043356474
"49",-0.0561190860426172
"50",-0.0771718433947729
"51",-0.0992885400377087
"52",-0.122154903346576
"53",-0.145419533569521
"54",-0.168697405868018
"55",-0.191573926605887
"56",-0.213609495365368
"57",-0.234344517253907
"58",-0.253304801918297
"59",-0.270007279961078
"60",-0.283965961438852
"61",-0.294698057825691
"62",-0.301730184602593
"63",-0.304604561105468
"64",-0.302885122575114
"65",-0.296163460974912
"66",-0.284064512807183
"67",-0.266251915280735
"68",-0.242432957124344
"69",-0.2123630554711
"70",-0.175849697059744
"71",-0.132755789572836
"72",-0.083002377009386
"73",-0.0265706822196357
"74",0.0364965509328745
"75",0.106094433555333
"76",0.182056033421322
"77",0.264153200137617
"78",0.352098101370792
"79",0.445545448235806
"80",0.544095378735026
"81",0.538729265632633
"82",0.50788569716977
"83",0.476195772892155
"84",0.443903858928024
"85",0.411261529603097
"86",0.378524767049872
"87",0.345951012591867
"88",0.313796105804756
"89",0.282311150112151
"90",0.251739347026841
"91",0.222312842860012
"92",0.194249633935132
"93",0.167750576758829
"94",0.142996550328443
"95",0.120145817179557
"96",0.0993316284729718
"97",0.0806601166878466
"98",0.0642085164227412
"99",0.0500237506776843
"100",0.03812141552565
"101",0.0284851912358597
"102",0.0210667025155225
"103",0.0157858441231744
"104",0.0125315819972462
"105",0.0111632326279394
"106",0.0115122165234444
"107",0.0133842739169546
"108",0.0165621236090301
"109",0.0208085383669966
"110",0.0258698029350087
"111",0.0314795141284433
"112",0.0373626756925253
"113",0.0432400350084603
"114",0.0488326032386294
"115",0.0538662963268524
"116",0.0580766305310342
"117",0.0612134037219337
"118",0.0630452918663867
"119",0.0633642899921096
"120",0.0619899272303239
"121",0.0587731874156641
"122",0.0536000696829429
"123",0.046394727214515
"124",0.0371221277981203
"125",0.0257901852539107
"126",0.0124513183785212
"127",-0.00279659858606465
"128",-0.0198099213781696
"129",-0.0383995753624439
"130",-0.0583320581349531
"131",-0.079331104431006
"132",-0.101080002225684
"133",-0.123224539559125
"134",-0.145376551522442
"135",-0.167118027839225
"136",-0.188005732422127
"137",-0.207576278280106
"138",-0.22535159355494
"139",-0.240844708377018
"140",-0.253565786470274
"141",-0.263028321404295
"142",-0.268755414115176
"143",-0.270286046648684
"144",-0.267181266496784
"145",-0.259030196617525
"146",-0.245455788441464
"147",-0.226120238231402
"148",-0.200729992088338
"149",-0.169040270093429
"150",-0.130859047211541
"151",-0.0860504358600678
"152",-0.0345374237641158
"153",0.0236960704704148
"154",0.0886038517370742
"155",0.160076830730704
"156",0.237943141869633
"157",0.321968994219838
"158",0.411860243053877
"159",0.507264659554556
"160",0.607774867079388
"161",0.523833046912655
"162",0.492850541735981
"163",0.461040463405029
"164",0.428649923096622
"165",0.395933294903082
"166",0.363149386494659
"167",0.330558459708192
"168",0.298419137362157
"169",0.266985235688582
"170",0.236502564809572
"171",0.207205741685604
"172",0.179315061866133
"173",0.153033477337002
"174",0.12854372784854
"175",0.106005673076873
"176",0.0855538713230158
"177",0.0672954487992554
"178",0.0513083006057051
"179",0.0376396610829811
"180",0.0263050768716523
"181",0.017287811150584
"182",0.0105387017714153
"183",0.00597649012596055
"184",0.00348863066034791
"185",0.00293258401676633
"186",0.00413758956031349
"187",0.00690690538008687
"188",0.0110204963876336
"189",0.0162381436164978
"190",0.0223029406293718
"191",0.0289451356107867
"192",0.0358862719081486
"193",0.0428435727735076
"194",0.0495345118597009
"195",0.0556815058539672
"196",0.0610166621568956
"197",0.0652865120301963
"198",0.0682566580559206
"199",0.0697162639985313
"200",0.069482316076489
"201",0.0674035863126201
"202",0.0633642313908875
"203",0.0572869648899632
"204",0.0491357453655114
"205",0.0389179291711042
"206",0.0266858438758345
"207",0.0125377459793579
"208",-0.00338186473920626
"209",-0.0208825929422286
"210",-0.0397291662196741
"211",-0.0596431235927722
"212",-0.0803051630087771
"213",-0.101358126710499
"214",-0.122410593907107
"215",-0.143041040333837
"216",-0.162802515598336
"217",-0.181227780873605
"218",-0.197834842025199
"219",-0.212132806780362
"220",-0.223627989004228
"221",-0.231830178814288
"222",-0.236258994233397
"223",-0.236450228237796
"224",-0.23196210420125
"225",-0.222381354263536
