"","pred"
"1",0.076650069282414
"2",0.0721234010905412
"3",0.0673841720164026
"4",0.0625597271960466
"5",0.0577923456368079
"6",0.0532379184528559
"7",0.0490637793184246
"8",0.0454454972663973
"9",0.0425624804495129
"10",0.0405923069145342
"11",0.0397037940492342
"12",0.0400489380480311
"13",0.0417539909653669
"14",0.0449100848838608
"15",0.0495639470109001
"16",0.0557093610547058
"17",0.0632801037070652
"18",0.0721451063989327
"19",0.0821065506313923
"20",0.0929014935932731
"21",0.104207438867605
"22",0.115652021034144
"23",0.126826676251603
"24",0.137303843548453
"25",0.146656909313777
"26",0.154481799752778
"27",0.160418873707286
"28",0.164173600352678
"29",0.16553444757696
"30",0.164386474473191
"31",0.160719322680993
"32",0.154628632145227
"33",0.146310350736105
"34",0.136047936033273
"35",0.124193022918017
"36",0.111140706783581
"37",0.0973011194627342
"38",0.0830694043112628
"39",0.0687964840385838
"40",0.0547631250126653
"41",0.0411597129547046
"42",0.0280738610834346
"43",0.0154874839049692
"44",0.00328431610812326
"45",-0.00873191989998347
"46",-0.0208093363196669
"47",-0.033211174531328
"48",-0.0461728327647492
"49",-0.0598555359988771
"50",-0.0743000186598445
"51",-0.089383821459907
"52",-0.104785776911838
"53",-0.119960966193325
"54",-0.134128885837273
"55",-0.146276798747754
"56",-0.155179309937363
"57",-0.159434166453852
"58",-0.157513205192952
"59",-0.147826336831587
"60",-0.128795531662873
"61",-0.0989350283742219
"62",-0.0569334718310245
"63",-0.00173343635946571
"64",0.067396176208465
"65",0.150799062029095
"66",0.248385392193239
"67",0.359603479381597
"68",0.483431116119638
"69",0.618387405747194
"70",0.762564809506483
"71",0.913680066344489
"72",1.06914166974026
"73",1.22613076341841
"74",1.3816916889098
"75",1.53282801236729
"76",1.676599690476
"77",1.81021710507175
"78",1.93112798817622
"79",2.03709374598989
"80",2.12625233434323
"81",0.0784214084520377
"82",0.0739986098121192
"83",0.0693578963780137
"84",0.0646239132089183
"85",0.0599362222169404
"86",0.0554481081264553
"87",0.05132454278
"88",0.0477391096348178
"89",0.0448697281193029
"90",0.0428930849442009
"91",0.0419777758035333
"92",0.042276282061442
"93",0.0439160454214855
"94",0.0469900482983325
"95",0.05154744503262
"96",0.0575849039403223
"97",0.0650393968106453
"98",0.0737831965400144
"99",0.0836218037212694
"100",0.0942954124599596
"101",0.105484343667402
"102",0.11681862674281
"103",0.127891611294292
"104",0.13827715959983
"105",0.147549633825698
"106",0.155305579477733
"107",0.161185749254463
"108",0.164895939153938
"109",0.166225046388613
"110",0.165058824012378
"111",0.161388007780981
"112",0.155309822706943
"113",0.147022323555974
"114",0.136811556976543
"115",0.125032114220337
"116",0.112082226441068
"117",0.0983750890225287
"118",0.0843085376312978
"119",0.070235491809231
"120",0.0564376965077784
"121",0.0431052055958205
