"","pred"
"1",-0.366558448749704
"2",-0.354690706013622
"3",-0.34249752070864
"4",-0.329943993902164
"5",-0.316999217225848
"6",-0.303637462654238
"7",-0.289839336112849
"8",-0.275592872084772
"9",-0.260894545081704
"10",-0.245750175262911
"11",-0.230175704808043
"12",-0.214197823477575
"13",-0.197854422628518
"14",-0.181194858814381
"15",-0.164280010296199
"16",-0.147182112133082
"17",-0.129984358788866
"18",-0.112780265865785
"19",-0.0956727863783249
"20",-0.0787731805843987
"21",-0.0621996424414812
"22",-0.0460756894724661
"23",-0.0305283273967192
"24",-0.0156860044699902
"25",-0.00167637491734962
"26",0.0113761051001575
"27",0.0233527224561471
"28",0.0341431621684474
"29",0.0436482391274515
"30",0.0517826699930838
"31",0.0584778467771574
"32",0.0636845710580007
"33",0.0673757074180397
"34",0.0695487131397795
"35",0.0702280017576385
"36",0.0694670979424961
"37",0.0673505430027223
"38",0.0639955115652302
"39",0.059553102734878
"40",0.05420927209749
"41",0.0481853744502071
"42",0.0417382912505112
"43",0.0351601220172319
"44",0.0287774235070136
"45",0.022949985955319
"46",0.0180691422317322
"47",0.0145556111403806
"48",0.0128568823990904
"49",0.0134441575313079
"50",0.0168088664425206
"51",0.0234587863611984
"52",0.0339137949234803
"53",0.0487012952607948
"54",0.0683513561529922
"55",0.0933916145328452
"56",0.124341992468667
"57",0.16170928372669
"58",0.205981668335165
"59",0.257623215417264
"60",0.317068436059165
"61",0.384716948843008
"62",0.46092831994201
"63",0.546017139202281
"64",0.64024839161115
"65",0.743833180877004
"66",0.856924858596413
"67",0.97961560861959
"68",1.11193353097813
"69",1.25384026519956
"70",1.40522918621949
"71",1.56592420031816
"72",1.73567916174627
"73",1.91417792361459
"74",2.10103502969478
"75",2.29579704650264
"76",2.49794452776287
"77",2.70689459641668
"78",2.92200412228305
"79",3.1425734669212
"80",3.36785076101567
"81",-0.345656017302957
"82",-0.334066808369394
"83",-0.322203176489495
"84",-0.310027340785898
"85",-0.297505104658279
"86",-0.284607069574264
"87",-0.271309817681983
"88",-0.257597038975271
"89",-0.243460580098815
"90",-0.228901390290499
"91",-0.213930342033802
"92",-0.198568903152229
"93",-0.182849640266465
"94",-0.166816533325382
"95",-0.150525084640802
"96",-0.134042207220607
"97",-0.117445880657786
"98",-0.100824565777065
"99",-0.0842763727367064
"100",-0.0679079809789218
"101",-0.0518333134966866
"102",-0.0361719716952309
"103",-0.0210474413652533
"104",-0.00658508448191564
"105",0.0070900641768934
"106",0.0198556732267814
"107",0.0315946367728892
"108",0.042197712426907
"109",0.0515662416160932
